Problem,orf96x96x96, setup,4.00 s, time,990.62 us, ``mflops'',44108
Problem,orf128x128x128, setup,4.68 s, time,1.42 ms, ``mflops'',77358
Problem,orf160x160x160, setup,5.94 s, time,2.97 ms, ``mflops'',75747
Problem,orf192x192x192, setup,7.77 s, time,4.50 ms, ``mflops'',89426
Problem,orf224x224x224, setup,7.83 s, time,6.36 ms, ``mflops'',1.0341e+05
Problem,orf256x256x256, setup,7.40 s, time,10.26 ms, ``mflops'',98074
Problem,orf288x288x288, setup,11.00 s, time,17.54 ms, ``mflops'',83469
Problem,orf320x320x320, setup,11.62 s, time,22.49 ms, ``mflops'',90934
Problem,orf352x352x352, setup,10.18 s, time,37.79 ms, ``mflops'',73222
Problem,orf384x384x384, setup,13.82 s, time,41.59 ms, ``mflops'',87650
Problem,orf416x416x416, setup,13.75 s, time,64.73 ms, ``mflops'',72578
Problem,orf448x448x448, setup,17.39 s, time,87.92 ms, ``mflops'',67557
Problem,orf480x480x480, setup,22.30 s, time,87.04 ms, ``mflops'',84875
Problem,orf512x512x512, setup,21.80 s, time,89.79 ms, ``mflops'',1.009e+05
Problem,orf544x544x544, setup,24.32 s, time,317.68 ms, ``mflops'',34539
Problem,orf576x576x576, setup,34.44 s, time,155.58 ms, ``mflops'',84477
Problem,orf608x608x608, setup,30.28 s, time,438.26 ms, ``mflops'',35570
Problem,orf640x640x640, setup,43.06 s, time,172.97 ms, ``mflops'',1.0596e+05
Problem,orf672x672x672, setup,48.07 s, time,262.28 ms, ``mflops'',81504
Problem,orf704x704x704, setup,49.66 s, time,328.27 ms, ``mflops'',75407
Problem,orf736x736x736, setup,48.02 s, time,780.93 ms, ``mflops'',36465
Problem,orf768x768x768, setup,62.04 s, time,284.12 ms, ``mflops'',1.1461e+05
Problem,orf800x800x800, setup,67.04 s, time,427.16 ms, ``mflops'',86695
Problem,orf832x832x832, setup,73.64 s, time,494.92 ms, ``mflops'',84661
Problem,orf864x864x864, setup,87.24 s, time,561.70 ms, ``mflops'',84007
Problem,orf896x896x896, setup,92.26 s, time,536.18 ms, ``mflops'',98679
Problem,orf928x928x928, setup,87.63 s, time,1.96 s, ``mflops'',30210
Problem,orf960x960x960, setup,125.69 s, time,750.40 ms, ``mflops'',87604
Problem,orf992x992x992, setup,133.71 s, time,2.96 s, ``mflops'',24588
Problem,orf1024x1024x1024, setup,129.46 s, time,860.63 ms, ``mflops'',93572
Problem,orf1056x1056x1056, setup,180.12 s, time,1.35 s, ``mflops'',65875
Problem,orf1088x1088x1088, setup,201.89 s, time,2.37 s, ``mflops'',41198
Problem,irf96x96x96, setup,7.72 s, time,998.44 us, ``mflops'',43763
Problem,irf128x128x128, setup,8.11 s, time,1.33 ms, ``mflops'',82907
Problem,irf160x160x160, setup,12.17 s, time,3.09 ms, ``mflops'',72899
Problem,irf192x192x192, setup,14.29 s, time,5.05 ms, ``mflops'',79778
Problem,irf224x224x224, setup,15.00 s, time,6.72 ms, ``mflops'',97935
Problem,irf256x256x256, setup,15.36 s, time,10.47 ms, ``mflops'',96154
Problem,irf288x288x288, setup,22.02 s, time,18.85 ms, ``mflops'',77647
Problem,irf320x320x320, setup,23.32 s, time,23.01 ms, ``mflops'',88887
Problem,irf352x352x352, setup,20.62 s, time,37.61 ms, ``mflops'',73578
Problem,irf384x384x384, setup,28.34 s, time,46.28 ms, ``mflops'',78777
Problem,irf416x416x416, setup,26.40 s, time,66.33 ms, ``mflops'',70819
Problem,irf448x448x448, setup,33.58 s, time,80.64 ms, ``mflops'',73656
Problem,irf480x480x480, setup,45.47 s, time,87.73 ms, ``mflops'',84205
Problem,irf512x512x512, setup,40.92 s, time,106.17 ms, ``mflops'',85332
Problem,irf544x544x544, setup,47.89 s, time,316.37 ms, ``mflops'',34683
Problem,irf576x576x576, setup,63.42 s, time,170.70 ms, ``mflops'',76995
Problem,irf608x608x608, setup,61.73 s, time,438.86 ms, ``mflops'',35522
Problem,irf640x640x640, setup,72.54 s, time,177.78 ms, ``mflops'',1.0309e+05
Problem,irf672x672x672, setup,83.23 s, time,294.52 ms, ``mflops'',72582
Problem,irf704x704x704, setup,85.52 s, time,307.90 ms, ``mflops'',80395
Problem,irf736x736x736, setup,97.21 s, time,772.81 ms, ``mflops'',36848
Problem,irf768x768x768, setup,103.24 s, time,299.15 ms, ``mflops'',1.0885e+05
Problem,irf800x800x800, setup,114.78 s, time,446.12 ms, ``mflops'',83010
Problem,irf832x832x832, setup,126.05 s, time,504.19 ms, ``mflops'',83105
Problem,irf864x864x864, setup,148.54 s, time,534.51 ms, ``mflops'',88281
Problem,irf896x896x896, setup,151.94 s, time,541.53 ms, ``mflops'',97705
Problem,irf928x928x928, setup,177.57 s, time,1.92 s, ``mflops'',30793
Problem,irf960x960x960, setup,199.37 s, time,716.87 ms, ``mflops'',91700
Problem,irf992x992x992, setup,213.67 s, time,2.68 s, ``mflops'',27238
Problem,irf1024x1024x1024, setup,202.16 s, time,820.35 ms, ``mflops'',98167
Problem,irf1056x1056x1056, setup,258.24 s, time,1.14 s, ``mflops'',77566
Problem,irf1088x1088x1088, setup,357.59 s, time,2.34 s, ``mflops'',41640
